WADMKK,WADMKC,WADMKD,ada_permukiman_kumuh,jumlah_bangunan_permukiman_kumuh,jumlah_korban_bencana_2023,jumlah_sd_negeri,jumlah_sd_swasta,jumlah_mi_negeri,jumlah_mi_swasta,jumlah_rumah_sakit,jumlah_puskesmas_rawat_inap,jumlah_puskesmas_tanpa_rawat_inap,ruang_terbuka_hijau,ruang_terbuka_non_hijau,gotong_royong_umum,gotong_royong_musibah,jalan_darat_dilalui_roda4,ada_angkutan_umum,jumlah_perkelahian_kelompok,jumlah_perkelahian_suku
KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,2,0,0,4,0,1,0,0,1,0,1,1,1,1,0,1,0,0
KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,1,33,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,0
KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0
KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,2,0,15,3,0,1,0,1,0,0,1,1,1,1,0,1,0,0
KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,2,0,0,2,0,1,0,0,1,0,1,1,1,1,4,1,0,0
KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,2,0,0,2,0,0,0,0,0,0,1,1,2,2,1,1,0,0
JAKARTA SELATAN,JAGAKARSA,CIPEDAK,2,0,0,3,6,0,2,1,0,0,1,1,1,1,4,1,0,0
JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,1,1205,0,7,5,2,2,1,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,JAGAKARSA,CIGANJUR,2,0,0,3,5,0,3,1,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,2,0,0,13,9,1,2,2,0,1,1,1,1,1,1,1,0,0
JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,2,0,0,7,5,0,6,0,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,2,0,0,6,3,0,3,0,0,0,1,2,2,1,1,3,0,0
JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,2,0,600,3,4,0,2,1,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,2,0,24,7,1,0,3,2,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,1,36,7,4,5,0,3,0,0,1,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,1,303,0,4,7,0,4,1,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,2,0,600,2,3,0,4,0,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,1,69,0,6,0,0,3,1,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,2,0,1,8,2,0,5,0,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,CILANDAK,LEBAK BULUS,2,0,0,5,8,0,2,1,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,CILANDAK,PONDOK LABU,2,0,0,9,3,0,2,1,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,2,0,0,8,2,0,2,3,0,1,1,2,1,1,1,1,0,0
JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,1,2109,0,2,2,0,1,0,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,2,0,0,3,1,0,1,0,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,PESANGGRAHAN,BINTARO,2,0,175,10,3,0,3,2,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,2,0,0,5,3,0,1,1,0,1,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,2,0,145,4,3,1,8,1,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2,0,300,4,3,1,2,1,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,2,0,0,8,3,0,3,0,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,2,0,1,4,7,1,5,2,0,0,1,1,2,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,1,76,0,9,2,0,3,2,0,1,2,1,1,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,1,120,15,6,2,0,1,0,0,0,1,1,1,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1,50,38,5,2,0,2,1,0,0,1,2,2,2,1,1,0,0
JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,1,150,0,6,4,0,2,0,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,2,0,30,6,6,0,1,0,0,0,1,2,1,1,1,1,1,0
JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,1,200,0,4,3,0,1,0,0,0,1,2,2,2,1,1,0,0
JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1,180,0,5,3,0,0,1,0,0,1,2,1,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN BARU,PULO,2,0,0,2,1,0,0,1,0,0,1,2,1,2,1,1,0,0
JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,1,100,0,0,2,0,1,1,0,0,0,0,1,1,1,1,0,0
JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,2,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,0,0
